,PATRON_ID,4,5,6,7,8,9,10,11,12,13,14,15
0,1407442774,0,0,0,0,0,0,0,0,0,0,0,0
1,1427089778,0,0,0,0,0,0,0,0,0,0,0,0
2,1427149745,0,0,0,0,0,0,0,0,0,0,0,0
3,1427188774,1,1,1,1,1,1,1,1,0,0,0,0
4,1427274774,0,0,0,0,0,0,0,0,0,0,0,0
5,1427275478,0,0,0,0,0,0,0,0,0,0,0,0
6,1427276778,2,1,1,1,1,0,0,0,0,0,0,0
7,1427582776,0,0,0,0,0,0,0,0,0,0,0,0
8,1427673748,0,0,0,0,0,0,0,0,0,0,0,0
9,1427980774,0,0,0,0,0,0,0,0,0,0,0,0
10,1444780774,0,0,0,0,0,0,0,0,0,0,0,0
11,1447141772,1,1,1,1,1,1,1,1,0,0,0,0
12,1447272772,0,0,0,0,0,0,0,0,0,0,0,0
13,1447272773,0,0,0,0,0,0,0,0,0,0,0,0
14,1447272775,0,0,0,0,0,0,0,0,0,0,0,0
15,1447376772,0,0,0,0,0,0,0,0,0,0,0,0
16,1454746770,0,0,0,0,0,0,0,0,0,0,0,0
17,1457047774,7,2,2,1,1,1,1,1,1,0,0,0
18,1457049778,0,0,0,0,0,0,0,0,0,0,0,0
19,1457075774,1,1,1,1,1,1,1,1,1,1,1,1
20,1457127778,0,0,0,0,0,0,0,0,0,0,0,0
21,1457147478,0,0,0,0,0,0,0,0,0,0,0,0
22,1457148772,1,0,0,0,0,0,0,0,0,0,0,0
23,1457148774,0,0,0,0,0,0,0,0,0,0,0,0
24,1457245779,1,1,1,1,0,0,0,0,0,0,0,0
25,1457273475,6,2,2,1,0,0,0,0,0,0,0,0
26,1457472774,1,1,1,1,1,1,1,0,0,0,0,0
27,1457549774,0,0,0,0,0,0,0,0,0,0,0,0
28,1457584721,0,0,0,0,0,0,0,0,0,0,0,0
29,1457841475,0,0,0,0,0,0,0,0,0,0,0,0
30,1457843744,0,0,0,0,0,0,0,0,0,0,0,0
31,1457883774,0,0,0,0,0,0,0,0,0,0,0,0
32,1464748845,0,0,0,0,0,0,0,0,0,0,0,0
33,1464748853,0,0,0,0,0,0,0,0,0,0,0,0
34,1464771442,0,0,0,0,0,0,0,0,0,0,0,0
35,1464771444,0,0,0,0,0,0,0,0,0,0,0,0
36,1464771447,0,0,0,0,0,0,0,0,0,0,0,0
37,1464771448,21,8,4,1,0,0,0,0,0,0,0,0
38,1464788474,3,2,1,1,1,1,1,1,0,0,0,0
39,1467027772,0,0,0,0,0,0,0,0,0,0,0,0
40,1467078470,0,0,0,0,0,0,0,0,0,0,0,0
41,1467140775,0,0,0,0,0,0,0,0,0,0,0,0
42,1467145778,0,0,0,0,0,0,0,0,0,0,0,0
43,1467147422,0,0,0,0,0,0,0,0,0,0,0,0
44,1467184447,0,0,0,0,0,0,0,0,0,0,0,0
45,1467184480,0,0,0,0,0,0,0,0,0,0,0,0
46,1467247403,1,1,1,1,1,1,1,1,0,0,0,0
47,1467247406,0,0,0,0,0,0,0,0,0,0,0,0
48,1467247443,2,0,0,0,0,0,0,0,0,0,0,0
49,1467247498,0,0,0,0,0,0,0,0,0,0,0,0
50,1467287492,0,0,0,0,0,0,0,0,0,0,0,0
51,1467287774,1,1,1,1,1,1,1,0,0,0,0,0
52,1467549445,0,0,0,0,0,0,0,0,0,0,0,0
53,1467579774,0,0,0,0,0,0,0,0,0,0,0,0
54,1467588452,0,0,0,0,0,0,0,0,0,0,0,0
55,1467588457,0,0,0,0,0,0,0,0,0,0,0,0
56,1467588458,0,0,0,0,0,0,0,0,0,0,0,0
57,1467588481,0,0,0,0,0,0,0,0,0,0,0,0
58,1467671775,0,0,0,0,0,0,0,0,0,0,0,0
59,1467680778,0,0,0,0,0,0,0,0,0,0,0,0
60,1474741772,0,0,0,0,0,0,0,0,0,0,0,0
61,1477276778,0,0,0,0,0,0,0,0,0,0,0,0
62,1477476774,0,0,0,0,0,0,0,0,0,0,0,0
63,1477643778,0,0,0,0,0,0,0,0,0,0,0,0
64,1487044478,0,0,0,0,0,0,0,0,0,0,0,0
65,1487175772,1,1,1,1,1,1,1,0,0,0,0,0
66,1487344474,0,0,0,0,0,0,0,0,0,0,0,0
67,1487570772,0,0,0,0,0,0,0,0,0,0,0,0
68,1487574472,0,0,0,0,0,0,0,0,0,0,0,0
69,1487574478,0,0,0,0,0,0,0,0,0,0,0,0
70,1487885774,1,1,1,1,0,0,0,0,0,0,0,0
71,1714442774,3,0,0,0,0,0,0,0,0,0,0,0
72,1717346778,0,0,0,0,0,0,0,0,0,0,0,0
73,1717588778,0,0,0,0,0,0,0,0,0,0,0,0
74,1737245747,0,0,0,0,0,0,0,0,0,0,0,0
75,1737883774,0,0,0,0,0,0,0,0,0,0,0,0
76,1764427476,0,0,0,0,0,0,0,0,0,0,0,0
77,1767145476,0,0,0,0,0,0,0,0,0,0,0,0
78,1767178975,0,0,0,0,0,0,0,0,0,0,0,0
79,1794787772,0,0,0,0,0,0,0,0,0,0,0,0
80,1794888774,0,0,0,0,0,0,0,0,0,0,0,0
81,1797144778,0,0,0,0,0,0,0,0,0,0,0,0
82,1797572775,0,0,0,0,0,0,0,0,0,0,0,0
83,2617779656,0,0,0,0,0,0,0,0,0,0,0,0
84,4110777728,4,2,1,1,1,1,1,0,0,0,0,0
85,4110777740,1,0,0,0,0,0,0,0,0,0,0,0
86,4110777741,0,0,0,0,0,0,0,0,0,0,0,0
87,4110777772,0,0,0,0,0,0,0,0,0,0,0,0
88,4110777775,0,0,0,0,0,0,0,0,0,0,0,0
